id,address,cluster,id,bedrooms,gla,room_count,full_baths,half_baths,lot_size_sf,year_built,close_price,latitude,longitude,cluster
284564,900 DANBURY Road ,4,284564,3,1300.0,7,0.0,0.0,0.0,0.0,597000.0,44.2485,-76.5859,4
284573,731 Downing Street ,2,284573,6,1300.0,8,0.0,0.0,0.0,0.0,650000.0,44.2466,-76.5974,2
286529,998 Sprucewood Crescent ,4,286529,3,1300.0,10,0.0,0.0,0.0,0.0,440000.0,44.2605,-76.5795,4
286547,528 Beth Crescent ,4,286547,3,1300.0,9,0.0,0.0,0.0,0.0,605000.0,44.2637,-76.5917,4
286347,1063 Basswood Place ,4,286347,3,900.0,7,0.0,0.0,0.0,0.0,490000.0,44.2631,-76.5835,4
286387,1349 Tremont Drive ,1,286387,3,1750.0,7,0.0,0.0,0.0,0.0,585000.0,44.2661,-76.5915,1
286973,371 Tanglewood Drive ,4,286973,4,2250.0,11,0.0,0.0,0.0,0.0,895000.0,44.2323,-76.5872,4
301871,1203 Carfa Crescent ,4,301871,3,1750.0,10,0.0,0.0,0.0,0.0,617207.0,44.2643,-76.6002,4
288151,929 Clearfield Crescent ,4,288151,3,1300.0,8,0.0,0.0,0.0,0.0,510000.0,44.2563,-76.5779,4
288750,1038 Springfield Drive ,4,288750,3,1300.0,8,0.0,0.0,0.0,0.0,517900.0,44.2308,-76.5915,4
289485,958 Chancery Street ,2,289485,4,2250.0,13,0.0,0.0,0.0,0.0,679000.0,44.2551,-76.5904,2
290185,1110 Dunham Street ,2,290185,4,1750.0,11,0.0,0.0,0.0,0.0,750000.0,44.2545,-76.5997,2
300594,685 Roosevelt Drive ,4,300594,2,1300.0,7,0.0,0.0,0.0,0.0,530000.0,44.231,-76.5882,4
